Length,Height,Whole weight,Shell weight,Age,Sex_F,Sex_I,Sex_M
0.24,0.045,0.07,0.02,1,0,1,0
0.205,0.055,0.042,0.012,1,0,1,0
0.21,0.05,0.042,0.015,1,0,1,0
0.39,0.095,0.203,0.075,1,0,1,0
0.47,0.12,0.5795,0.14,2,0,0,1
0.46,0.12,0.4605,0.15,1,1,0,0
0.325,0.07,0.161,0.045,1,0,1,0
0.525,0.16,0.8355,0.245,2,1,0,0
0.52,0.12,0.595,0.19,2,0,1,0
0.4,0.095,0.303,0.1,1,0,0,1
0.485,0.13,0.5415,0.16,2,0,0,1
0.47,0.12,0.4775,0.15,2,1,0,0
0.405,0.1,0.385,0.11,1,0,0,1
0.5,0.14,0.6615,0.22,2,1,0,0
0.445,0.12,0.4425,0.135,2,0,0,1
0.47,0.135,0.5895,0.17,2,0,0,1
0.245,0.06,0.086,0.025,1,0,1,0
0.505,0.125,0.583,0.175,1,1,0,0
0.45,0.105,0.4115,0.135,1,0,0,1
0.505,0.11,0.625,0.175,2,0,0,1
0.53,0.13,0.6965,0.2,2,1,0,0
0.425,0.095,0.3785,0.1,1,0,0,1
0.52,0.12,0.58,0.185,2,0,0,1
0.475,0.12,0.48,0.135,2,0,0,1
0.565,0.16,0.915,0.32,2,1,0,0
0.595,0.185,1.285,0.485,2,1,0,0
0.475,0.12,0.5305,0.17,2,1,0,0
0.31,0.07,0.151,0.045,1,0,1,0
0.555,0.13,0.7665,0.275,2,0,0,1
0.4,0.11,0.353,0.1,2,1,0,0
0.595,0.17,1.247,0.685,3,1,0,0
0.57,0.175,1.185,0.38,2,0,0,1
0.605,0.195,1.098,0.315,2,1,0,0
0.6,0.15,1.0075,0.28,2,1,0,0
0.595,0.14,0.944,0.315,2,0,0,1
0.6,0.15,0.922,0.305,2,1,0,0
0.555,0.14,0.788,0.285,2,1,0,0
0.615,0.17,1.1025,0.345,2,1,0,0
0.575,0.14,0.941,0.285,2,1,0,0
0.62,0.175,1.515,0.675,2,0,0,1
0.52,0.265,1.6885,0.682,3,1,0,0
0.595,0.35,1.7175,0.81,3,0,0,1
0.58,0.14,1.013,0.36,2,0,0,1
0.57,0.18,1.295,0.44,2,1,0,0
0.625,0.14,1.195,0.4,2,0,0,1
0.56,0.16,0.8645,0.26,2,0,0,1
0.46,0.13,0.517,0.165,2,1,0,0
0.575,0.16,0.9775,0.33,2,1,0,0
0.565,0.135,0.8115,0.255,2,0,0,1
0.555,0.15,0.755,0.26,2,0,0,1
0.595,0.175,1.115,0.39,2,0,0,1
0.625,0.165,1.262,0.39,2,1,0,0
0.695,0.19,1.494,0.485,2,0,0,1
0.665,0.195,1.606,0.48,2,0,0,1
0.535,0.15,0.725,0.25,2,0,0,1
0.47,0.13,0.523,0.145,2,0,0,1
0.47,0.13,0.5225,0.165,1,0,0,1
0.475,0.125,0.5785,0.155,2,1,0,0
0.36,0.095,0.2315,0.075,1,0,1,0
0.55,0.145,0.843,0.255,2,0,0,1
0.53,0.16,0.883,0.335,2,0,0,1
0.53,0.14,0.724,0.205,2,0,0,1
0.605,0.16,1.1735,0.345,2,0,0,1
0.52,0.155,0.727,0.235,2,1,0,0
0.545,0.165,0.802,0.28,2,1,0,0
0.5,0.125,0.6675,0.22,2,1,0,0
0.51,0.135,0.6335,0.2,2,1,0,0
0.435,0.105,0.3635,0.13,2,1,0,0
0.495,0.125,0.5415,0.155,2,0,0,1
0.465,0.105,0.431,0.175,2,0,0,1
0.435,0.08,0.3325,0.105,2,0,1,0
0.425,0.105,0.393,0.165,2,0,0,1
0.545,0.125,0.6935,0.21,2,1,0,0
0.53,0.115,0.5915,0.18,2,1,0,0
0.49,0.135,0.6125,0.22,2,1,0,0
0.44,0.105,0.402,0.165,2,0,0,1
0.56,0.15,0.8825,0.31,2,1,0,0
0.405,0.085,0.2605,0.085,2,0,0,1
0.47,0.105,0.4205,0.14,2,1,0,0
0.385,0.085,0.2535,0.085,1,0,1,0
0.515,0.14,0.766,0.255,2,1,0,0
0.37,0.075,0.214,0.07,1,0,0,1
0.36,0.08,0.1755,0.07,1,0,1,0
0.27,0.06,0.073,0.03,1,0,1,0
0.375,0.09,0.238,0.07,1,0,1,0
0.385,0.085,0.2505,0.08,2,0,1,0
0.7,0.36,1.7255,0.54,3,0,0,1
0.71,0.355,1.959,0.78,3,0,0,1
0.595,0.365,1.262,0.61,3,0,0,1
0.44,0.125,0.4035,0.129,2,1,0,0
0.325,0.09,0.1915,0.062,1,1,0,0
0.35,0.095,0.211,0.068,1,0,1,0
0.265,0.065,0.0975,0.028,1,0,1,0
0.425,0.115,0.406,0.1355,2,1,0,0
0.305,0.08,0.156,0.048,1,1,0,0
0.345,0.09,0.2005,0.063,2,0,0,1
0.405,0.11,0.3555,0.117,2,1,0,0
0.375,0.095,0.253,0.0925,2,0,0,1
0.565,0.155,0.826,0.2475,2,1,0,0
0.55,0.145,0.741,0.2665,2,1,0,0
0.65,0.359,1.3445,0.6465,3,0,0,1
0.56,0.155,0.797,0.2425,2,0,0,1
0.475,0.13,0.5175,0.17,2,0,0,1
0.49,0.125,0.549,0.174,2,1,0,0
0.46,0.12,0.515,0.1565,2,0,0,1
0.28,0.08,0.127,0.042,2,0,1,0
0.175,0.055,0.0315,0.0125,1,0,1,0
0.17,0.095,0.03,0.01,1,0,1,0
0.59,0.145,1.053,0.325,2,0,0,1
0.605,0.185,1.1185,0.335,2,1,0,0
0.635,0.19,1.3715,0.45,2,1,0,0
0.605,0.16,1.0565,0.355,2,1,0,0
0.565,0.135,0.9885,0.31,2,1,0,0
0.515,0.13,0.722,0.21,2,0,0,1
0.575,0.19,0.994,0.34,2,1,0,0
0.645,0.351,1.514,0.635,3,0,0,1
0.58,0.17,0.9075,0.285,2,1,0,0
0.575,0.165,1.124,0.44,2,1,0,0
0.605,0.165,1.056,0.34,2,0,0,1
0.605,0.16,1.222,0.28,2,1,0,0
0.61,0.175,1.2445,0.345,2,0,0,1
0.725,0.351,2.141,0.85,3,1,0,0
0.65,0.353,1.752,0.815,3,1,0,0
0.725,0.19,2.55,0.725,2,0,0,1
0.725,0.665,2.124,0.85,3,1,0,0
0.68,0.355,1.842,0.65,3,1,0,0
0.705,0.22,1.981,0.76,2,0,0,1
0.68,0.175,1.6185,0.62,2,1,0,0
0.695,0.215,1.9565,0.59,2,0,0,1
0.53,0.145,0.775,0.255,1,1,0,0
0.525,0.155,1.065,0.285,2,0,0,1
0.52,0.115,0.776,0.22,2,1,0,0
0.235,0.04,0.048,0.015,1,0,1,0
0.36,0.09,0.1785,0.075,1,0,1,0
0.315,0.06,0.125,0.035,1,0,1,0
0.315,0.085,0.1435,0.05,2,0,1,0
0.225,0.045,0.0465,0.015,1,0,1,0
0.58,0.15,0.97,0.35,2,0,0,1
0.57,0.18,0.9395,0.295,2,0,0,1
0.64,0.175,1.368,0.687,3,0,0,1
0.56,0.16,1.0235,0.3,2,1,0,0
0.62,0.175,1.0165,0.325,2,1,0,0
0.645,0.2,1.5675,0.46,2,1,0,0
0.62,0.19,1.218,0.355,2,0,0,1
0.63,0.15,1.0525,0.285,2,1,0,0
0.63,0.185,1.383,0.38,2,1,0,0
0.63,0.16,1.199,0.315,2,1,0,0
0.585,0.17,0.9325,0.29,2,1,0,0
0.615,0.18,1.1595,0.325,2,0,0,1
0.61,0.17,1.0225,0.36,2,0,0,1
0.58,0.15,0.927,0.36,2,0,0,1
0.355,0.085,0.22,0.15,2,0,1,0
0.51,0.14,0.8145,0.195,2,1,0,0
0.5,0.155,0.772,0.245,2,0,0,1
0.505,0.15,0.644,0.21,2,1,0,0
0.64,0.357,1.3035,0.465,3,0,0,1
0.56,0.16,0.922,0.26,2,0,0,1
0.585,0.185,0.922,0.285,2,0,0,1
0.45,0.12,0.4165,0.135,2,1,0,0
0.5,0.165,0.825,0.285,2,0,0,1
0.5,0.145,0.63,0.23,2,1,0,0
0.53,0.17,0.8155,0.275,2,1,0,0
0.42,0.115,0.369,0.12,2,0,0,1
0.44,0.14,0.482,0.16,2,1,0,0
0.4,0.11,0.315,0.12,2,0,1,0
0.435,0.11,0.3795,0.12,2,0,1,0
0.525,0.17,0.8325,0.31,2,1,0,0
0.37,0.095,0.2655,0.08,1,0,1,0
0.49,0.145,0.6345,0.22,2,1,0,0
0.335,0.09,0.181,0.06,1,0,0,1
0.415,0.105,0.38,0.12,2,1,0,0
0.5,0.14,0.6155,0.205,2,0,0,1
0.485,0.16,0.66,0.235,2,1,0,0
0.55,0.14,0.8025,0.255,2,0,0,1
0.45,0.13,0.46,0.135,2,0,0,1
0.405,0.12,0.324,0.11,1,0,1,0
0.47,0.135,0.501,0.165,2,0,0,1
0.415,0.13,0.32,0.105,2,1,0,0
0.445,0.125,0.455,0.14,2,1,0,0
0.47,0.145,0.5175,0.18,2,1,0,0
0.49,0.15,0.5755,0.19,2,1,0,0
0.445,0.15,0.485,0.155,2,1,0,0
0.425,0.105,0.3265,0.1,2,0,1,0
0.5,0.135,0.45,0.155,2,1,0,0
0.39,0.125,0.3055,0.09,1,1,0,0
0.365,0.085,0.205,0.07,1,0,1,0
0.58,0.165,1.1015,0.35,2,1,0,0
0.53,0.16,0.783,0.245,2,1,0,0
0.555,0.135,0.836,0.275,2,0,0,1
0.565,0.175,0.9025,0.325,2,0,0,1
0.625,0.3515,1.4455,0.435,3,0,0,1
0.275,0.075,0.1155,0.035,1,0,1,0
0.44,0.135,0.435,0.125,2,0,1,0
0.295,0.08,0.124,0.04,2,0,1,0
0.075,0.01,0.002,0.0015,1,0,1,0
0.13,0.03,0.013,0.004,1,0,1,0
0.11,0.03,0.008,0.003,1,0,1,0
0.16,0.035,0.021,0.005,1,0,1,0
0.565,0.26,0.9425,0.6875,3,0,0,1
0.27,0.07,0.1,0.035,1,0,1,0
0.23,0.065,0.0645,0.02,1,0,1,0
0.3,0.08,0.1275,0.04,2,0,1,0
0.33,0.085,0.1655,0.06,2,0,1,0
0.35,0.085,0.174,0.06,2,0,1,0
0.32,0.08,0.1585,0.05,2,0,1,0
0.36,0.085,0.1975,0.07,2,0,1,0
0.305,0.075,0.156,0.045,1,0,1,0
0.345,0.11,0.2135,0.07,1,0,1,0
0.33,0.105,0.1715,0.06,1,0,1,0
0.59,0.18,1.1235,0.36,2,0,0,1
0.595,0.155,1.0605,0.3,2,1,0,0
0.575,0.185,1.094,0.345,2,1,0,0
0.6,0.165,1.2415,0.34,2,0,0,1
0.56,0.175,1.011,0.37,2,0,0,1
0.56,0.385,1.07,0.51,3,0,0,1
0.545,0.16,0.8975,0.345,2,0,0,1
0.635,0.17,1.415,0.365,2,1,0,0
0.59,0.16,1.1015,0.295,2,1,0,0
0.54,0.155,0.928,0.26,2,1,0,0
0.57,0.125,0.865,0.27,2,1,0,0
0.53,0.165,0.8945,0.245,2,0,0,1
0.245,0.06,0.095,0.026,1,0,1,0
0.27,0.08,0.1205,0.04,1,0,0,1
0.46,0.13,0.639,0.16,2,1,0,0
0.52,0.15,0.895,0.235,2,0,0,1
0.35,0.11,0.2925,0.0905,2,0,0,1
0.47,0.15,0.6355,0.255,2,0,0,1
0.45,0.125,0.4995,0.17,2,1,0,0
0.64,0.215,1.779,0.55,3,1,0,0
0.59,0.2,1.187,0.37,3,0,0,1
0.62,0.205,1.219,0.385,2,0,0,1
0.63,0.225,1.525,0.45,2,0,0,1
0.63,0.155,1.259,0.41,2,0,0,1
0.655,0.215,1.844,0.585,3,0,0,1
0.66,0.185,1.3485,0.49,2,1,0,0
0.61,0.24,1.642,0.69,3,0,0,1
0.635,0.205,1.484,0.43,3,0,0,1
0.515,0.135,0.712,0.25,2,1,0,0
0.535,0.185,0.8415,0.3,2,1,0,0
0.36,0.105,0.2415,0.075,1,0,1,0
0.455,0.12,0.4495,0.15,2,1,0,0
0.485,0.14,0.6295,0.225,2,0,0,1
0.515,0.175,0.9565,0.31,2,0,0,1
0.535,0.17,0.879,0.285,2,1,0,0
0.53,0.155,0.699,0.205,2,0,0,1
0.495,0.155,0.6445,0.205,3,1,0,0
0.44,0.125,0.4775,0.19,2,0,0,1
0.535,0.16,0.8105,0.24,2,1,0,0
0.54,0.18,0.996,0.325,3,0,0,1
0.565,0.21,1.2765,0.355,2,1,0,0
0.61,0.165,1.116,0.315,2,0,0,1
0.565,0.175,1.013,0.35,3,1,0,0
0.6,0.195,1.0575,0.375,3,0,0,1
0.295,0.085,0.128,0.04,1,0,1,0
0.275,0.075,0.1105,0.035,1,0,1,0
0.28,0.085,0.1065,0.03,1,0,1,0
0.49,0.14,0.549,0.15,2,0,0,1
0.37,0.105,0.234,0.075,2,0,0,1
0.405,0.095,0.3485,0.1,2,1,0,0
0.54,0.175,0.892,0.335,2,1,0,0
0.37,0.1,0.252,0.074,2,0,0,1
0.36,0.1,0.217,0.0715,1,0,0,1
0.47,0.13,0.472,0.15,2,1,0,0
0.2,0.06,0.037,0.011,1,0,1,0
0.165,0.03,0.0215,0.005,1,0,1,0
0.645,0.24,1.5415,0.535,2,0,0,1
0.55,0.125,0.7605,0.195,2,0,0,1
0.57,0.145,0.9055,0.275,2,0,0,1
0.63,0.19,1.2435,0.39,3,1,0,0
0.56,0.14,0.971,0.265,2,0,0,1
0.595,0.195,1.3305,0.345,3,0,0,1
0.62,0.2,1.2255,0.435,3,1,0,0
0.63,0.175,1.3,0.46,3,0,0,1
0.45,0.11,0.4585,0.14,2,0,1,0
0.635,0.19,1.242,0.39,2,1,0,0
0.45,0.1,0.3675,0.12,2,0,0,1
0.58,0.155,0.8365,0.32,3,1,0,0
0.33,0.095,0.172,0.06,1,0,1,0
0.265,0.06,0.0965,0.03,1,0,1,0
0.19,0.04,0.038,0.015,1,0,1,0
0.385,0.1,0.2845,0.1,2,0,0,1
0.265,0.07,0.1055,0.035,1,0,1,0
0.335,0.105,0.222,0.075,1,0,0,1
0.355,0.09,0.251,0.08,1,0,1,0
0.32,0.1,0.1755,0.065,1,0,1,0
0.51,0.13,0.6435,0.205,2,0,0,1
0.36,0.105,0.241,0.095,2,0,0,1
0.36,0.09,0.2255,0.09,2,0,1,0
0.5,0.155,0.5955,0.2,2,0,0,1
0.4,0.12,0.3185,0.095,2,1,0,0
0.3,0.08,0.121,0.035,1,0,1,0
0.235,0.04,0.0705,0.02,1,0,1,0
0.74,0.195,1.974,0.71,3,1,0,0
0.62,0.19,1.3415,0.355,2,0,0,1
0.6,0.19,1.0875,0.325,2,0,0,1
0.59,0.185,1.283,0.425,3,0,0,1
0.62,0.185,1.325,0.33,2,0,0,1
0.565,0.195,1.0035,0.285,2,1,0,0
0.575,0.145,1.165,0.3,2,0,0,1
0.62,0.205,1.3475,0.48,2,1,0,0
0.62,0.185,1.274,0.32,2,0,0,1
0.505,0.18,0.568,0.17,2,1,0,0
0.46,0.155,0.746,0.24,2,1,0,0
0.49,0.14,0.707,0.18,2,0,0,1
0.525,0.16,0.756,0.275,2,1,0,0
0.34,0.08,0.2,0.055,1,0,1,0
0.375,0.115,0.2715,0.09,2,0,1,0
0.61,0.15,1.2,0.28,2,0,0,1
0.61,0.185,1.153,0.245,2,1,0,0
0.585,0.17,0.8685,0.27,3,1,0,0
0.57,0.14,0.9535,0.245,2,0,0,1
0.58,0.17,0.93,0.22,2,0,0,1
0.635,0.17,1.275,0.34,3,0,0,1
0.7,0.205,2.13,0.58,3,0,0,1
0.675,0.185,1.587,0.395,2,0,0,1
0.645,0.19,1.8085,0.395,3,1,0,0
0.745,0.215,2.499,0.7,3,0,0,1
0.685,0.18,1.768,0.485,3,1,0,0
0.605,0.18,1.227,0.35,3,0,0,1
0.59,0.15,0.997,0.34,2,1,0,0
0.65,0.175,1.4225,0.445,3,1,0,0
0.6,0.15,1.029,0.295,3,1,0,0
0.62,0.175,1.186,0.35,2,1,0,0
0.63,0.16,1.016,0.355,3,0,0,1
0.58,0.145,0.887,0.265,2,0,0,1
0.58,0.12,1.0735,0.265,2,1,0,0
0.63,0.18,1.13,0.315,2,0,0,1
0.69,0.215,1.719,0.47,3,1,0,0
0.65,0.165,1.566,0.415,3,1,0,0
0.66,0.195,1.7605,0.5,3,1,0,0
0.68,0.2,1.787,0.6,3,1,0,0
0.7,0.17,1.31,0.42,2,1,0,0
0.685,0.15,1.343,0.4,2,0,0,1
0.675,0.195,1.7345,0.605,3,1,0,0
0.63,0.19,1.1775,0.285,2,0,0,1
0.585,0.16,1.077,0.25,2,1,0,0
0.565,0.175,0.995,0.37,2,0,0,1
0.61,0.185,1.1085,0.33,2,1,0,0
0.605,0.18,1.1405,0.385,2,0,0,1
0.535,0.145,0.791,0.25,2,0,0,1
0.485,0.135,0.663,0.2,2,0,0,1
0.47,0.12,0.5565,0.195,2,0,0,1
0.545,0.135,0.8445,0.235,2,0,0,1
0.455,0.105,0.4925,0.135,2,1,0,0
0.54,0.155,0.7385,0.215,2,0,0,1
0.46,0.135,0.482,0.145,2,0,0,1
0.49,0.125,0.609,0.22,2,0,0,1
0.465,0.12,0.471,0.14,2,0,1,0
0.415,0.1,0.3215,0.105,2,0,1,0
0.475,0.125,0.593,0.18,2,0,0,1
0.47,0.125,0.5615,0.18,2,1,0,0
0.365,0.095,0.25,0.08,2,0,1,0
0.345,0.095,0.1995,0.07,1,0,1,0
0.39,0.1,0.302,0.115,2,0,1,0
0.5,0.14,0.7155,0.24,2,1,0,0
0.47,0.145,0.5865,0.185,2,0,0,1
0.535,0.15,0.6765,0.26,2,0,0,1
0.585,0.15,0.987,0.31,2,0,0,1
0.485,0.12,0.5885,0.175,2,1,0,0
0.515,0.135,0.7225,0.235,2,0,0,1
0.435,0.11,0.4335,0.155,1,1,0,0
0.515,0.14,0.6935,0.2,2,1,0,0
0.44,0.12,0.365,0.11,1,0,1,0
0.525,0.15,0.8425,0.24,2,1,0,0
0.45,0.115,0.479,0.15,2,0,0,1
0.59,0.12,0.911,0.29,3,0,0,1
0.555,0.145,0.915,0.285,2,0,0,1
0.57,0.095,0.827,0.235,2,0,0,1
0.59,0.165,1.1045,0.34,2,0,0,1
0.585,0.12,0.945,0.28,2,0,0,1
0.58,0.12,0.9935,0.28,2,1,0,0
0.545,0.12,0.8565,0.24,2,0,0,1
0.605,0.17,1.2385,0.39,2,1,0,0
0.62,0.14,1.0325,0.36,2,1,0,0
0.63,0.17,1.3135,0.4,3,1,0,0
0.63,0.165,1.352,0.45,3,0,0,1
0.63,0.155,1.005,0.36,3,1,0,0
0.545,0.14,0.625,0.235,2,0,0,1
0.67,0.165,1.5015,0.505,2,1,0,0
0.49,0.12,0.529,0.155,2,0,1,0
0.49,0.135,0.5785,0.2,2,1,0,0
0.29,0.07,0.101,0.035,2,0,1,0
0.26,0.07,0.092,0.03,1,0,1,0
0.58,0.175,1.068,0.32,2,0,0,1
0.61,0.165,1.0915,0.33,3,1,0,0
0.6,0.16,1.015,0.33,3,0,0,1
0.56,0.125,0.943,0.375,3,1,0,0
0.575,0.17,1.0475,0.385,3,1,0,0
0.57,0.175,0.9555,0.295,3,1,0,0
0.6,0.155,1.036,0.325,3,0,0,1
0.565,0.17,0.9065,0.32,3,0,0,1
0.545,0.14,0.7505,0.255,3,0,0,1
0.44,0.1,0.366,0.12,2,0,1,0
0.5,0.15,0.662,0.22,2,0,0,1
0.36,0.095,0.217,0.09,1,0,1,0
0.385,0.095,0.252,0.09,2,0,1,0
0.39,0.09,0.3055,0.085,2,0,0,1
0.5,0.165,0.6885,0.25,2,0,0,1
0.36,0.11,0.2335,0.085,2,0,1,0
0.335,0.1,0.192,0.07,2,0,1,0
0.505,0.14,0.85,0.285,3,1,0,0
0.395,0.1,0.2715,0.085,2,0,1,0
0.41,0.105,0.3635,0.12,2,1,0,0
0.56,0.19,0.714,0.275,2,1,0,0
0.565,0.185,0.9815,0.39,2,0,0,1
0.565,0.185,0.9265,0.375,3,0,0,1
0.605,0.175,1.098,0.375,2,0,0,1
0.565,0.15,0.8205,0.26,3,1,0,0
0.725,0.215,1.891,0.58,3,0,0,1
0.675,0.16,1.41,0.42,3,1,0,0
0.665,0.195,1.4385,0.36,3,1,0,0
0.565,0.155,0.9245,0.255,2,1,0,0
0.645,0.175,1.2915,0.33,2,1,0,0
0.575,0.14,0.8375,0.24,2,0,0,1
0.64,0.175,1.221,0.39,2,1,0,0
0.36,0.105,0.199,0.08,2,0,1,0
0.415,0.11,0.2965,0.0995,2,0,1,0
0.525,0.135,0.7085,0.235,2,1,0,0
0.38,0.1,0.2665,0.075,2,0,0,1
0.585,0.17,0.9915,0.265,2,1,0,0
0.24,0.07,0.0715,0.025,1,0,1,0
0.22,0.055,0.0545,0.02,1,0,1,0
0.255,0.07,0.0735,0.025,1,0,1,0
0.175,0.05,0.0235,0.008,1,0,1,0
0.67,0.19,1.3905,0.4,2,1,0,0
0.655,0.195,1.388,0.41,2,0,0,1
0.68,0.21,1.7445,0.625,3,1,0,0
0.675,0.2,1.4385,0.465,3,0,0,1
0.53,0.135,0.7835,0.2185,2,1,0,0
0.515,0.12,0.646,0.177,2,1,0,0
0.43,0.12,0.3575,0.1045,2,0,1,0
0.52,0.12,0.627,0.181,2,1,0,0
0.545,0.16,0.7715,0.2765,2,1,0,0
0.53,0.175,0.7395,0.2645,3,0,0,1
0.465,0.115,0.421,0.1345,2,1,0,0
0.665,0.175,1.347,0.415,3,0,0,1
0.735,0.225,1.756,0.58,3,0,0,1
0.66,0.185,1.32,0.455,3,0,0,1
0.7,0.185,1.8075,0.475,3,1,0,0
0.575,0.155,0.9325,0.3,3,0,0,1
0.57,0.125,0.849,0.24,2,0,0,1
0.58,0.15,0.9955,0.26,3,1,0,0
0.63,0.145,1.0115,0.305,2,0,0,1
0.585,0.14,0.908,0.315,2,1,0,0
0.55,0.13,0.92,0.29,2,0,0,1
0.625,0.15,1.2415,0.36,2,1,0,0
0.54,0.135,0.8075,0.235,2,0,0,1
0.57,0.165,1.0595,0.285,2,1,0,0
0.59,0.145,1.073,0.285,2,0,0,1
0.58,0.13,0.921,0.29,2,0,0,1
0.655,0.155,1.2895,0.41,2,1,0,0
0.655,0.175,1.2635,0.415,2,0,0,1
0.625,0.195,1.369,0.37,3,0,0,1
0.625,0.15,0.953,0.305,2,1,0,0
0.64,0.175,1.248,0.48,2,1,0,0
0.605,0.165,1.0105,0.3,3,1,0,0
0.615,0.155,1.0385,0.345,2,1,0,0
0.555,0.175,0.874,0.305,2,0,0,1
0.58,0.18,0.854,0.245,2,1,0,0
0.62,0.225,1.1835,0.395,3,1,0,0
0.62,0.225,1.115,0.36,2,1,0,0
0.6,0.19,1.129,0.36,2,1,0,0
0.625,0.19,1.1745,0.42,3,1,0,0
0.6,0.175,1.105,0.315,2,0,0,1
0.56,0.235,0.8395,0.305,2,0,0,1
0.585,0.225,1.055,0.365,2,0,0,1
0.56,0.18,0.889,0.25,2,0,0,1
0.56,0.155,0.8735,0.275,3,0,1,0
0.68,0.185,1.1095,0.34,2,0,1,0
0.455,0.14,0.5185,0.135,2,1,0,0
0.49,0.145,0.6725,0.21,2,1,0,0
0.31,0.085,0.146,0.045,1,0,0,1
0.275,0.07,0.08,0.025,1,1,0,0
0.27,0.08,0.1,0.03,1,0,0,1
0.4,0.115,0.2795,0.075,2,0,0,1
0.28,0.08,0.0915,0.03,1,0,0,1
0.325,0.09,0.147,0.045,1,0,0,1
0.345,0.09,0.203,0.055,1,1,0,0
0.21,0.05,0.0385,0.01,1,0,0,1
0.36,0.09,0.1885,0.055,1,1,0,0
0.365,0.115,0.218,0.07,2,0,1,0
0.2,0.055,0.035,0.01,1,0,0,1
0.235,0.06,0.0545,0.015,1,0,0,1
0.175,0.04,0.024,0.005,1,0,0,1
0.155,0.04,0.0155,0.005,1,0,0,1
0.57,0.155,0.733,0.235,2,1,0,0
0.57,0.16,0.9715,0.26,2,1,0,0
0.385,0.095,0.24,0.085,2,0,0,1
0.53,0.185,0.752,0.205,3,0,1,0
0.46,0.13,0.458,0.13,2,1,0,0
0.47,0.12,0.4705,0.155,2,0,1,0
0.435,0.11,0.38,0.11,2,1,0,0
0.47,0.14,0.4985,0.145,2,0,1,0
0.465,0.13,0.454,0.155,2,0,1,0
0.52,0.14,0.5775,0.179,2,0,1,0
0.29,0.075,0.1165,0.04,1,0,0,1
0.275,0.07,0.094,0.0325,1,0,0,1
0.375,0.115,0.2705,0.0885,2,1,0,0
0.5,0.14,0.604,0.179,2,1,0,0
0.44,0.115,0.415,0.131,2,1,0,0
0.42,0.115,0.2885,0.1135,2,0,0,1
0.445,0.115,0.3615,0.117,2,0,0,1
0.38,0.105,0.257,0.085,2,1,0,0
0.32,0.075,0.1555,0.049,2,0,0,1
0.255,0.065,0.08,0.027,2,0,0,1
0.205,0.045,0.0425,0.0155,1,0,0,1
0.565,0.16,0.795,0.23,2,1,0,0
0.555,0.18,0.875,0.255,2,0,1,0
0.65,0.16,1.1625,0.33,3,0,1,0
0.615,0.155,0.9885,0.345,2,0,1,0
0.56,0.165,0.8,0.25,2,0,1,0
0.48,0.12,0.514,0.155,2,0,1,0
0.485,0.125,0.591,0.12,2,0,1,0
0.5,0.15,0.6265,0.16,2,0,1,0
0.525,0.15,0.795,0.255,2,0,1,0
0.66,0.165,1.1905,0.37,2,1,0,0
0.66,0.17,1.326,0.44,2,1,0,0
0.52,0.145,0.66,0.22,2,0,1,0
0.44,0.105,0.364,0.1175,2,1,0,0
0.515,0.12,0.659,0.17,2,0,1,0
0.475,0.115,0.452,0.155,2,1,0,0
0.545,0.15,0.7335,0.2185,2,1,0,0
0.47,0.13,0.5465,0.185,2,1,0,0
0.35,0.065,0.179,0.06,2,0,0,1
0.485,0.13,0.581,0.168,2,0,1,0
